County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Bachelors,GED,Republican,Democrat,Other Party,No Party,Totals,Black,Black%,Hispanic,Hispanic%,Area,Density (pop/sqmile),Voter_TAM,Unregistered,Age(0-17),Age(18-44),Age(45-64),Age(65+),Pop(2019),Pop(2010),Pop(2000),Pop(1990),Grow%(10-19),Grow%(00-09),Grow%(90-00),Grow%(30yr)
Alachua,39345,40644,41373,42818,42149,42045,43073,44702,45478,49078,43,22,49977,91341,2024,42051,185393,57487,22,25607,10,875,305,220260,34867,18,48,20,14,267306,247336,217955,181596,8,14,20,47
Baker,46315,47276,47041,47149,49236,46865,47121,53327,59506,61769,13,43,9338,4549,94,1771,15752,4087,14,602,2,585,48,21469,5717,24,36,27,14,28249,27115,22259,18486,4,22,20,53
Bay,46240,47770,48225,47364,47461,47274,47368,48577,50283,51829,23,31,62100,28606,1603,24237,116546,22077,13,12490,7,758,221,131150,14604,22,35,27,17,167283,168852,148217,126994,-1,14,17,32
Bradford,40519,41126,41397,39082,40259,40481,41606,43373,46106,46197,11,40,8650,5663,113,2540,16966,5567,19,1042,4,294,98,23032,6066,20,36,27,18,28682,28520,26088,22515,1,9,16,27
Brevard,49114,49523,50068,49099,48039,48483,48925,49914,51536,54359,29,29,181798,133435,6724,106081,428038,69830,12,59471,10,1016,585,484492,56454,19,29,29,23,594469,543376,476230,398978,9,14,19,49
Broward,51731,51694,51782,51603,51251,51574,51968,52954,54895,57333,32,27,253619,608233,11625,334938,1208415,585920,31,555116,29,1210,1586,1514599,306184,21,35,27,17,1919644,1748066,1623018,1255531,10,8,29,53
Calhoun,29642,31699,31142,32480,32780,34053,34510,37089,36237,38609,10,42,3201,4234,43,933,8411,2062,15,845,6,567,25,11183,2772,21,34,27,18,14067,14625,13017,11011,-4,12,18,28
Charlotte,44639,45037,45112,44596,44378,44265,44244,44865,46511,49225,23,34,66188,39253,2091,38069,145601,12244,7,13656,8,680,267,157776,12175,13,21,29,37,181770,159978,141627,110975,14,13,28,64
Citrus,37807,37933,38189,39034,39100,38109,38312,39054,40574,41424,18,38,55868,28470,1476,25378,111192,5182,4,8091,5,582,254,125878,14686,15,21,29,35,147744,141236,118085,93513,5,20,26,58
Clay,60352,61185,59994,59649,59482,59103,58290,59179,61971,62653,24,32,83112,35783,1856,35178,155929,26728,12,20083,9,604,356,162726,6797,24,34,27,15,215246,190865,140814,105986,13,36,33,103
Collier,58133,58106,56876,56104,55843,56250,57452,59783,62407,65675,36,25,108043,52271,1918,48989,211221,28531,8,108923,29,1998,189,307392,96171,18,28,26,28,376706,321520,251377,152099,17,28,65,148
